,it,dataset,treated_groups,lift_size,reference_value,model,true_ate,estimated_ate,estimated_std,ci,estimated_lower_bound,estimated_upper_bound,simulation_date
591,48.0,supermarket_sales,Naypyitaw,0.9364855030519768,2280.616625369012,DoWhyEstimator,1102.907511732648,936.3331253690112,766.8087183528174,0.9,491.8407901878501,2993.4906605204337,2024-08-01
592,48.0,supermarket_sales,Naypyitaw,0.9364855030519768,2280.616625369012,SyntheticControlEstimator,1102.907511732648,1097.8260097743398,11.035565907516396,0.9,1080.292258471996,1115.7481539609826,2024-08-01
593,48.0,supermarket_sales,Naypyitaw,0.9364855030519768,2280.616625369012,DifferenceInDifferencesEstimator,1102.907511732648,989.8536166119447,245.1310619244495,0.9,593.5123572787386,1388.547497512675,2024-08-01
594,49.0,supermarket_sales,Mandalay,0.8392133765335084,2182.17603158204,SLearner,995.7035649153736,879.6030044835642,244.64270590526232,0.9,469.8679748907444,1193.0030418796664,2024-08-01
595,49.0,supermarket_sales,Mandalay,0.8392133765335084,2182.17603158204,TLearner,995.7035649153736,944.787058176192,318.95395135559033,0.9,303.8587936873106,1361.5074672742955,2024-08-01
596,49.0,supermarket_sales,Mandalay,0.8392133765335084,2182.17603158204,DoublyRobustEstimator,995.7035649153736,761.9429301531377,169.63459840624384,0.9,644.2225262335863,1204.007356321183,2024-08-01
597,49.0,supermarket_sales,Mandalay,0.8392133765335084,2182.17603158204,DoWhyEstimator,995.7035649153736,645.4800315820404,833.4187066812215,0.9,-595.1221033223688,2134.5545894180545,2024-08-01
598,49.0,supermarket_sales,Mandalay,0.8392133765335084,2182.17603158204,SyntheticControlEstimator,995.7035649153736,1011.3478500063288,11.375123108325043,0.9,993.3698778617508,1029.7449775557732,2024-08-01
599,49.0,supermarket_sales,Mandalay,0.8392133765335084,2182.17603158204,DifferenceInDifferencesEstimator,995.7035649153736,978.1570741658846,274.3053034022502,0.9,535.2767571788772,1435.5301033133053,2024-08-01
600,0.0,nifty50_stock_market,ADANIPORTS_VEDL_HINDALCO_BRITANNIA_HINDUNILVR_UPL_TCS_GAIL_NESTLEIND,0.347898072426801,37785.08118683933,SLearner,9752.485874339329,10258.060569004754,175.4301987944642,0.9,9935.820091867025,10510.195596845886,2024-08-01
601,0.0,nifty50_stock_market,ADANIPORTS_VEDL_HINDALCO_BRITANNIA_HINDUNILVR_UPL_TCS_GAIL_NESTLEIND,0.347898072426801,37785.08118683933,TLearner,9752.485874339329,10232.39469566787,204.0891905151882,0.9,9908.82383606081,10589.56775140971,2024-08-01
602,0.0,nifty50_stock_market,ADANIPORTS_VEDL_HINDALCO_BRITANNIA_HINDUNILVR_UPL_TCS_GAIL_NESTLEIND,0.347898072426801,37785.08118683933,DoublyRobustEstimator,9752.485874339329,10231.560598604035,158.49620343908992,0.9,9993.38453557364,10488.121531711891,2024-08-01
603,0.0,nifty50_stock_market,ADANIPORTS_VEDL_HINDALCO_BRITANNIA_HINDUNILVR_UPL_TCS_GAIL_NESTLEIND,0.347898072426801,37785.08118683933,DoWhyEstimator,9752.485874339329,11202.381186839326,621.3410298597769,0.9,9220.457923215296,11275.770679100597,2024-08-01
604,0.0,nifty50_stock_market,ADANIPORTS_VEDL_HINDALCO_BRITANNIA_HINDUNILVR_UPL_TCS_GAIL_NESTLEIND,0.347898072426801,37785.08118683933,SyntheticControlEstimator,9752.485874339329,8964.810444515828,21.09631973215484,0.9,8931.465968059549,9000.676915332999,2024-08-01
605,0.0,nifty50_stock_market,ADANIPORTS_VEDL_HINDALCO_BRITANNIA_HINDUNILVR_UPL_TCS_GAIL_NESTLEIND,0.347898072426801,37785.08118683933,DifferenceInDifferencesEstimator,9752.485874339329,10242.22052533522,302.34776944473543,0.9,9741.75630043836,10740.304609427789,2024-08-01
606,1.0,nifty50_stock_market,BAJAJAUTO_UPL_IOC_NESTLEIND_JSWSTEEL_SUNPHARMA_VEDL_INDUSINDBK_BPCL_TECHM_MARUTI_ULTRACEMCO_POWERGRID_MM_ASIANPAINT_RELIANCE_SBIN_CIPLA_HDFCBANK_HINDALCO_GRASIM_BAJAJFINSV,0.0286005691309362,59711.71432916635,SLearner,1660.3033916663562,1226.2687311667369,266.3335331311176,0.9,127.62288056045436,938.7023329055854,2024-08-01
607,1.0,nifty50_stock_market,BAJAJAUTO_UPL_IOC_NESTLEIND_JSWSTEEL_SUNPHARMA_VEDL_INDUSINDBK_BPCL_TECHM_MARUTI_ULTRACEMCO_POWERGRID_MM_ASIANPAINT_RELIANCE_SBIN_CIPLA_HDFCBANK_HINDALCO_GRASIM_BAJAJFINSV,0.0286005691309362,59711.71432916635,TLearner,1660.3033916663562,1198.951218010379,254.77233371992432,0.9,897.2329642965768,1755.353145479564,2024-08-01
608,1.0,nifty50_stock_market,BAJAJAUTO_UPL_IOC_NESTLEIND_JSWSTEEL_SUNPHARMA_VEDL_INDUSINDBK_BPCL_TECHM_MARUTI_ULTRACEMCO_POWERGRID_MM_ASIANPAINT_RELIANCE_SBIN_CIPLA_HDFCBANK_HINDALCO_GRASIM_BAJAJFINSV,0.0286005691309362,59711.71432916635,DoublyRobustEstimator,1660.3033916663562,1208.7878585781118,124.44580159260715,0.9,1038.9683137062077,1452.979850815792,2024-08-01
609,1.0,nifty50_stock_market,BAJAJAUTO_UPL_IOC_NESTLEIND_JSWSTEEL_SUNPHARMA_VEDL_INDUSINDBK_BPCL_TECHM_MARUTI_ULTRACEMCO_POWERGRID_MM_ASIANPAINT_RELIANCE_SBIN_CIPLA_HDFCBANK_HINDALCO_GRASIM_BAJAJFINSV,0.0286005691309362,59711.71432916635,DoWhyEstimator,1660.3033916663562,394.8643291663479,1181.9583202150432,0.9,-1628.0593132725592,2326.167995687339,2024-08-01
610,1.0,nifty50_stock_market,BAJAJAUTO_UPL_IOC_NESTLEIND_JSWSTEEL_SUNPHARMA_VEDL_INDUSINDBK_BPCL_TECHM_MARUTI_ULTRACEMCO_POWERGRID_MM_ASIANPAINT_RELIANCE_SBIN_CIPLA_HDFCBANK_HINDALCO_GRASIM_BAJAJFINSV,0.0286005691309362,59711.71432916635,SyntheticControlEstimator,1660.3033916663562,30873.20204371243,77.03324608363977,0.9,30751.104578986637,31003.474081241657,2024-08-01
611,1.0,nifty50_stock_market,BAJAJAUTO_UPL_IOC_NESTLEIND_JSWSTEEL_SUNPHARMA_VEDL_INDUSINDBK_BPCL_TECHM_MARUTI_ULTRACEMCO_POWERGRID_MM_ASIANPAINT_RELIANCE_SBIN_CIPLA_HDFCBANK_HINDALCO_GRASIM_BAJAJFINSV,0.0286005691309362,59711.71432916635,DifferenceInDifferencesEstimator,1660.3033916663562,1306.39376103502,479.8845706256644,0.9,528.3549069931041,2120.363333008763,2024-08-01
612,2.0,nifty50_stock_market,POWERGRID_MM_WIPRO_BHARTIARTL_KOTAKBANK_TECHM_CIPLA_ITC_ASIANPAINT_IOC_TATASTEEL_ULTRACEMCO_AXISBANK_ONGC_ICICIBANK_HEROMOTOCO_HDFC_BPCL_NESTLEIND_EICHERMOT_SBIN_JSWSTEEL_RELIANCE,0.4107584234182466,64131.38501848539,SLearner,18672.585018485388,18308.66832559133,157.6047094043616,0.9,17993.890211321297,18484.448255843414,2024-08-01
613,2.0,nifty50_stock_market,POWERGRID_MM_WIPRO_BHARTIARTL_KOTAKBANK_TECHM_CIPLA_ITC_ASIANPAINT_IOC_TATASTEEL_ULTRACEMCO_AXISBANK_ONGC_ICICIBANK_HEROMOTOCO_HDFC_BPCL_NESTLEIND_EICHERMOT_SBIN_JSWSTEEL_RELIANCE,0.4107584234182466,64131.38501848539,TLearner,18672.585018485388,18333.99463616094,214.35850723179396,0.9,18031.7693363856,18681.562167121807,2024-08-01
614,2.0,nifty50_stock_market,POWERGRID_MM_WIPRO_BHARTIARTL_KOTAKBANK_TECHM_CIPLA_ITC_ASIANPAINT_IOC_TATASTEEL_ULTRACEMCO_AXISBANK_ONGC_ICICIBANK_HEROMOTOCO_HDFC_BPCL_NESTLEIND_EICHERMOT_SBIN_JSWSTEEL_RELIANCE,0.4107584234182466,64131.38501848539,DoublyRobustEstimator,18672.585018485388,18315.957077308925,147.7589910650595,0.9,17971.3765112847,18472.63580945817,2024-08-01
615,2.0,nifty50_stock_market,POWERGRID_MM_WIPRO_BHARTIARTL_KOTAKBANK_TECHM_CIPLA_ITC_ASIANPAINT_IOC_TATASTEEL_ULTRACEMCO_AXISBANK_ONGC_ICICIBANK_HEROMOTOCO_HDFC_BPCL_NESTLEIND_EICHERMOT_SBIN_JSWSTEEL_RELIANCE,0.4107584234182466,64131.38501848539,DoWhyEstimator,18672.585018485388,17661.035018485392,919.67000744022,0.9,14570.061588756302,17608.73894708511,2024-08-01
616,2.0,nifty50_stock_market,POWERGRID_MM_WIPRO_BHARTIARTL_KOTAKBANK_TECHM_CIPLA_ITC_ASIANPAINT_IOC_TATASTEEL_ULTRACEMCO_AXISBANK_ONGC_ICICIBANK_HEROMOTOCO_HDFC_BPCL_NESTLEIND_EICHERMOT_SBIN_JSWSTEEL_RELIANCE,0.4107584234182466,64131.38501848539,SyntheticControlEstimator,18672.585018485388,35292.35096720438,59.7668708258418,0.9,35197.13534198405,35393.43354045414,2024-08-01
617,2.0,nifty50_stock_market,POWERGRID_MM_WIPRO_BHARTIARTL_KOTAKBANK_TECHM_CIPLA_ITC_ASIANPAINT_IOC_TATASTEEL_ULTRACEMCO_AXISBANK_ONGC_ICICIBANK_HEROMOTOCO_HDFC_BPCL_NESTLEIND_EICHERMOT_SBIN_JSWSTEEL_RELIANCE,0.4107584234182466,64131.38501848539,DifferenceInDifferencesEstimator,18672.585018485388,18107.042042554804,314.3791646664953,0.9,17587.341088542507,18615.445636940585,2024-08-01
618,3.0,nifty50_stock_market,NTPC_TATAMOTORS_SUNPHARMA_TATASTEEL_TCS_HCLTECH_ADANIPORTS_BAJAJFINSV_GRASIM_KOTAKBANK_HDFCBANK_HDFC_INFY_SHREECEM_ITC_IOC_WIPRO_ONGC,0.7359793331443306,94897.3292336088,SLearner,40232.3182961088,42515.36829898656,515.3550107814749,0.9,41727.03414931643,43345.03997667983,2024-08-01
619,3.0,nifty50_stock_market,NTPC_TATAMOTORS_SUNPHARMA_TATASTEEL_TCS_HCLTECH_ADANIPORTS_BAJAJFINSV_GRASIM_KOTAKBANK_HDFCBANK_HDFC_INFY_SHREECEM_ITC_IOC_WIPRO_ONGC,0.7359793331443306,94897.3292336088,TLearner,40232.3182961088,42452.55677555924,603.553956432137,0.9,41441.18099651053,43372.106751298445,2024-08-01
620,3.0,nifty50_stock_market,NTPC_TATAMOTORS_SUNPHARMA_TATASTEEL_TCS_HCLTECH_ADANIPORTS_BAJAJFINSV_GRASIM_KOTAKBANK_HDFCBANK_HDFC_INFY_SHREECEM_ITC_IOC_WIPRO_ONGC,0.7359793331443306,94897.3292336088,DoublyRobustEstimator,40232.3182961088,42461.60570419703,481.2383383523469,0.9,41633.9283654599,43225.21165349327,2024-08-01
621,3.0,nifty50_stock_market,NTPC_TATAMOTORS_SUNPHARMA_TATASTEEL_TCS_HCLTECH_ADANIPORTS_BAJAJFINSV_GRASIM_KOTAKBANK_HDFCBANK_HDFC_INFY_SHREECEM_ITC_IOC_WIPRO_ONGC,0.7359793331443306,94897.3292336088,DoWhyEstimator,40232.3182961088,41714.97923360879,2682.7451168296625,0.9,34008.816639135555,42645.63945343509,2024-08-01
622,3.0,nifty50_stock_market,NTPC_TATAMOTORS_SUNPHARMA_TATASTEEL_TCS_HCLTECH_ADANIPORTS_BAJAJFINSV_GRASIM_KOTAKBANK_HDFCBANK_HDFC_INFY_SHREECEM_ITC_IOC_WIPRO_ONGC,0.7359793331443306,94897.3292336088,SyntheticControlEstimator,40232.3182961088,78047.04099400675,81.51446868594522,0.9,77916.36525337382,78184.53168126811,2024-08-01
